PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,2
156065,2
156066,3
156067,3
156068,2
156069,3
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,3
156077,1
156078,3
156079,3
156080,2
156081,2
156082,2
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,2
156091,3
156092,3
156093,2
156094,3
156095,2
156096,3
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,3
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,1
156129,2
156130,1
156131,2
156132,1
156133,2
156134,2
156135,2
156136,1
156137,2
156138,1
156139,1
156140,1
156141,1
156142,1
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,3
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,3
156167,2
156168,3
156169,2
156170,2
156171,3
156172,3
156173,2
156174,3
156175,3
156176,3
156177,2
156178,0
156179,2
156180,0
156181,0
156182,2
156183,3
156184,0
156185,3
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,3
156202,2
156203,3
156204,2
156205,3
156206,3
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,4
156220,2
156221,4
156222,4
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,2
156238,4
156239,3
156240,4
156241,2
156242,2
156243,4
156244,4
156245,3
156246,4
156247,4
156248,4
156249,3
156250,1
156251,1
156252,2
156253,1
156254,1
156255,2
156256,1
156257,1
156258,2
156259,2
156260,2
156261,2
156262,3
156263,2
156264,2
156265,2
156266,2
156267,2
156268,2
156269,2
156270,2
156271,2
156272,4
156273,2
156274,4
156275,4
156276,4
156277,4
156278,4
156279,4
156280,4
156281,3
156282,3
156283,3
156284,2
156285,2
156286,4
156287,4
156288,4
